image_id,det_category,img_precision,img_recall,img_f1,img_iou,tp_pixels,fp_pixels,fn_pixels,tn_pixels
386_web_01_jpg.rf.e253a305ec1ceef2d23c7c4106110625.jpg,TP,1.0,0.020006761728616033,0.03922868451324846,0.020006761728616033,5030,0,246385,311585
386_gsv_00_jpg.rf.fa5719692b4455fa090623d965e90847.jpg,TP,0.49633560177033265,0.969825181327878,0.6566247993200491,0.4887873462214411,20859,21167,649,366925
344_149347_164nopv_jpg.rf.1a955969006510b79ea5e711e2f17f79.jpg,TN,,,,,0,0,0,409600
150_gsv_00_jpg.rf.e703125c7f4006f708f383d5f6794e67.jpg,TP,0.8948024241508864,0.9659832056090005,0.9290313728180651,0.8674683358957463,47395,5572,1669,354964
2140_2366625_052nopv_jpg.rf.0f70e4e672be13f9c067618c41ac1c2e.jpg,TN,,,,,0,0,0,409600
148_gsv_00_jpg.rf.852b317d43470c16c78901a3a9bb7a0e.jpg,TP,0.955628684048747,0.901942045803611,0.9280095519033572,0.86568826574068,52852,2454,5746,348548
336_gsv_00_jpg.rf.c55997eef33c779941304c38b90b5c55.jpg,TP,0.0021051880396774423,0.004003121077450216,0.0027592980158776554,0.001381555069019213,118,55934,29359,324189
346_gsv_00_jpg.rf.4831d3054920ce6eb5bd9e8e91cd3d11.jpg,TP,0.9110560374500895,0.6715039577836411,0.7731495004965823,0.6301904761904762,13234,1292,6474,388600
2270_2372869_090nopv_jpg.rf.c3a28fe5040ded2df9fd47170f2f7c9c.jpg,TN,,,,,0,0,0,409600
152_gsv_00_jpg.rf.9798709d1778c8f84b137f66bae956ba.jpg,TP,0.6854791825052546,0.22131739293655606,0.33460308451303766,0.20091491788022178,15328,7033,53930,333309
346_web_02_jpg.rf.7d2091005b0f9960c66b83b22099d884.jpg,TP,0.9651776147696365,0.6710311434547174,0.7916645540739239,0.6551695199731453,46842,1690,22964,749324
336_web_01_jpg.rf.2363ad14791a4ae51e6789f07c802c3d.jpg,TP,0.9843658911442048,0.8715073313782992,0.924505058297973,0.8596089320837672,37148,590,5477,916785
346_web_01_jpg.rf.080f9f13383d6adefe75a26c6693660f.jpg,FN,,0.0,,0.0,0,0,82676,2917324
