core_id,gt_filename,pr_filename,tp_green,fp_orange,fn_red,tn_black,total_pixels
401_151818_185nopv,078_401_151818_185nopv.jpg,401_151818_185nopv_jpg.rf.eee26fb5d279cb568f43a1b6ff53c306.png,0,99,0,409501,409600
060_gsv_00,079_060_gsv_00.jpg,060_gsv_00_jpg.rf.a534a7484295281ad0684fe88bb23167.png,67383,45712,168,296337,409600
311_web_01,080_311_web_01.jpg,311_web_01_jpg.rf.f3b7a0f748aaf8feecb91d1da1ac3c70.png,22004,8333,32175,347088,409600
098_gsv_00,081_098_gsv_00.jpg,098_gsv_00_jpg.rf.fbd55a0d6a6496bacc825087addce6f7.png,42408,7760,81,359351,409600
090_web_01,082_090_web_01.jpg,090_web_01_jpg.rf.933fcb730db8cb2a6139872f4b509afa.png,21538,59392,0,328670,409600
383_web_04,083_383_web_04.jpg,383_web_04_jpg.rf.3acc7b27c6e23decad64c0dc04a11b88.png,92112,29712,61,287715,409600
233_145502_104nopv,084_233_145502_104nopv.jpg,233_145502_104nopv_jpg.rf.6272b312b8f92ffdd52daee2509a01e9.png,0,0,0,409600,409600
2286_2373097_095nopv,085_2286_2373097_095nopv.jpg,2286_2373097_095nopv_jpg.rf.961e8c9f87e4d43ce6dcfbb80e2bf0e4.png,0,0,0,409600,409600
2359_2373584_106nopv,086_2359_2373584_106nopv.jpg,2359_2373584_106nopv_jpg.rf.fc687aab861dae88f753c64b35122e37.png,0,0,0,409600,409600
238_gsv_00,087_238_gsv_00.jpg,238_gsv_00_jpg.rf.1079a3ecaa9c1654aa573327217d05cc.png,12126,7077,15277,375120,409600
309_148444_147nopv,088_309_148444_147nopv.jpg,309_148444_147nopv_jpg.rf.77d0acb04124636733442af666c6997f.png,0,0,0,409600,409600
2024_174125_021nopv,089_2024_174125_021nopv.jpg,2024_174125_021nopv_jpg.rf.9da74b43799b5bff8a8603bf3e23efec.png,0,0,0,409600,409600
306_148329_145nopv,090_306_148329_145nopv.jpg,306_148329_145nopv_jpg.rf.22380d57a9f8b51e8075ca4ce011bb35.png,0,0,0,409600,409600
185_gsv_00,091_185_gsv_00.jpg,185_gsv_00_jpg.rf.1a923e04646031b95d92f9b2408e6d2c.png,107703,11079,9289,281529,409600
237_web_01,092_237_web_01.jpg,237_web_01_jpg.rf.a334823a7ec7668de210f04b3c97d50d.png,39158,6381,56,364005,409600
240_web_00,093_240_web_00.jpg,240_web_00_jpg.rf.1542f348feb079b0da2c1e2634d2be4b.png,118835,17971,14652,258142,409600
161_web_02,094_161_web_02.jpg,161_web_02_jpg.rf.326231c4f0c5a5db098153fb4a55a456.png,15103,71806,310,322381,409600
0,095_0.jpg,0_jpg.rf.e7fb12646e7f85bb25dbc8c4852d30a9.png,0,0,0,409600,409600
2188_2369470_066nopv,096_2188_2369470_066nopv.jpg,2188_2369470_066nopv_jpg.rf.9b105c4f880c353d6857655f4bbfaca7.png,0,0,0,409600,409600
014_gsv_00,097_014_gsv_00.jpg,014_gsv_00_jpg.rf.77ba19eafadda66e595e6e5e2d034b95.png,21958,43757,6,343879,409600
2034_174247_026nopv,098_2034_174247_026nopv.jpg,2034_174247_026nopv_jpg.rf.7fa0f3a5deb170a5e992fd1ca21f7107.png,0,0,0,409600,409600
102,099_102.jpg,102_jpg.rf.58a2478ef87c25f79f1f00abcbca40a6.png,0,24789,0,384811,409600
035_web_00,100_035_web_00.jpg,035_web_00_jpg.rf.d74c7e9b8b50701addc672ab754baed2.png,20734,54555,219,334092,409600
021_web_00,101_021_web_00.jpg,021_web_00_jpg.rf.b99a633673138ed4ecebeb45876c15eb.png,37713,27314,7152,337421,409600
210_web_01,102_210_web_01.jpg,210_web_01_jpg.rf.98cf053f149af2afae9034ff58091268.png,19694,12395,23475,354036,409600
223_web_00,103_223_web_00.jpg,223_web_00_jpg.rf.ebb51d7919481a6811fa31c3ef8f7a10.png,90595,37846,1147,280012,409600
098_web_00,104_098_web_00.jpg,098_web_00_jpg.rf.63db886993e593ff73843a3dd23dab7a.png,43027,5710,24,360839,409600
